id,address,lat,lng,rent,size
91282595,"Bourne Gardens, Exeter Park Road ,BH2 5BD",50.71849779999999,-1.878082,£600 pcm,150–250 sq. ft.
91282373,"15-17 , Stephens Road ,BH2 6LA",50.7231284,-1.882801,£294 pcm,150–250 sq. ft.
97352690,"Third Floor 3 Westover Road, Bournemouth, Dorset, BH1",50.7197002,-1.8765272,£708 pcm,248 sq. ft.
97971452,"Tayfield House, Poole Road, Bournemouth, Dorset, BH4",50.72256050000001,-1.8992846,£475 pcm,236 sq. ft.
62770389,"13 Oxford Rd, BH8 8HA Bournemouth, United Kingdom",50.72422479999999,-1.8658241,£188 pcm,53–215 sq. ft.
91282397,"15-17 , Stephens Road ,BH2 6LA",50.7231284,-1.882801,£588 pcm,"500–1,000 sq. ft."
63932313,"3 Lorne Park Road, Bournemouth, Dorset, BH1 1AH",50.7227822,-1.8701399,£450 pcm,207 sq. ft.
91357148,"2 Wilson House , Lorne Park Road, BH1 1JN",50.7227504,-1.871747,£100 pcm,100–150 sq. ft.
92473712,"319a, Holdenhurst Road, Bournemouth, Dorset, BH8 8BT",50.7323376,-1.8517128,£100 pcm,100–150 sq. ft.
70455201,"Echo Building 18 , Albert Road, Bournemouth, Dorset, BH1 1BZ",50.72150999999999,-1.8782414,POA,100–150 sq. ft.
91282412,"Platinum House, 23 , Hinton Road ,BH1 2EF",50.7190467,-1.8735577,£200 pcm,100–150 sq. ft.
91282592,"Bourne Gardens, Exeter Park Road ,BH2 5BD",50.71849779999999,-1.878082,£200 pcm,100–150 sq. ft.
91282361,"15-17 , Stephens Road ,BH2 6LA",50.7231284,-1.882801,£98 pcm,100–150 sq. ft.
96548399,"Office 6 Old Library House Dean Park Crescent, Bournemouth, Dorset, BH1",50.7229587,-1.8746422,£295 pcm,140 sq. ft.
96548366,"Office 5 Old Library House Dean Park Crescent, Bournemouth, Dorset, BH1",50.7229587,-1.8746422,£295 pcm,120 sq. ft.
101964863,"Regus Oxford Point, 13 Oxford Road, Bournemouth, Dorset, BH8",50.7242006,-1.8657689,POA,110 sq. ft.
95122166,"Post Office Road, Bournemouth, Dorset, BH1",50.7206341,-1.878499,£200 pcm,100 sq. ft.
83497391,"Bourne House, Hinton Road, Bournemouth, Dorset, BH1",50.7190467,-1.8735577,£190 pcm,100 sq. ft.
92475098,"319a, Holdenhurst Road, Bournemouth, Dorset, BH8 8BT",50.7323376,-1.8517128,£100 pcm,50–80 sq. ft.
91357229,"2 Wilson House , Lorne Park Road, BH1 1JN",50.7227504,-1.871747,£100 pcm,50–80 sq. ft.
91282745,"Bourne Gardens, Exeter Park Road,BH2 5BD",50.71849779999999,-1.878082,£200 pcm,50–80 sq. ft.
70455276,"Echo Building 18 , Albert Road, Bournemouth, Dorset, BH1 1BZ",50.72150999999999,-1.8782414,POA,50–80 sq. ft.
91282403,"15-17 , Stephens Road ,BH2 6LA",50.7231284,-1.882801,£98 pcm,50–80 sq. ft.
91282442,"Platinum House, 23 , Hinton Road ,BH1 2EF",50.7190467,-1.8735577,£200 pcm,50–80 sq. ft.
91282565,"Clarendon Business Centre Clifton House, 10, Poole Hill,BH2 5PS",50.71983170000001,-1.8863406,£365 pcm,50–80 sq. ft.
95494049,"1 St Stephen's Court, St Stephen's Road, Bournemouth, BH2 6LA",50.722988,-1.8824265,"£3,833 pcm","2,881 sq. ft."
100022672,"Manor Road, Bournemouth, Dorset, BH1",50.7211779,-1.8548801,£338 pcm,
77062008,"Wimborne Road, Kinson, Bournemouth, BH10",50.7688673,-1.9019532,£375 pcm,
