Postcode,"Avg asking price","Average £/sqft","Sales per month","Turnover (sale)","Avg asking rent (pm)","Avg yield","Turnover (rental)",3yr,"Crime rate",Population,Degree,"Avg. household income","Social rent",URL
DH6,"130,225",128,22,5,461,4.2,61,9,142,"33,466",23,"34,400",24,https://propertydata.co.uk/draw?input=DH6
DH7,"138,442",117,26,6,476,4.1,45,8,105,"41,041",29,"37,000",23,https://propertydata.co.uk/draw?input=DH7
DH8,"123,615",123,21,6,473,4.6,,6,96,"38,324",23,"35,200",15,https://propertydata.co.uk/draw?input=DH8
DH9,"95,888",99,22,7,432,5.4,44,5,145,"36,685",15,"31,500",24,https://propertydata.co.uk/draw?input=DH9
DL1,"124,450",134,35,9,464,4.5,59,6,187,"46,721",17,"33,300",22,https://propertydata.co.uk/draw?input=DL1
DL2,"244,283",181,15,6,627,3.1,,7,84,"17,198",24,"42,800",7,https://propertydata.co.uk/draw?input=DL2
DL3,"162,364",153,40,9,481,3.6,71,8,130,"44,074",27,"38,200",12,https://propertydata.co.uk/draw?input=DL3
DL4,"68,654",66,6,4,397,6.9,,8,191,"10,011",11,"28,000",27,https://propertydata.co.uk/draw?input=DL4
DL5,"177,365",142,17,8,502,3.4,,7,139,"29,219",20,"35,700",23,https://propertydata.co.uk/draw?input=DL5
DL6,"296,184",213,8,7,,,,7,101,"15,488",29,"41,400",20,https://propertydata.co.uk/draw?input=DL6
DL7,"278,346",214,10,8,,,,6,65,"16,065",30,"42,200",10,https://propertydata.co.uk/draw?input=DL7
DL8,"297,292",228,16,9,,,,8,47,"18,242",30,"40,700",10,https://propertydata.co.uk/draw?input=DL8
DL10,"262,123",198,12,7,597,2.7,,5,72,"18,878",26,"41,300",13,https://propertydata.co.uk/draw?input=DL10
DL12,"284,465",180,5,5,,,,7,66,"12,486",28,"35,900",13,https://propertydata.co.uk/draw?input=DL12
DL13,"162,100",104,10,6,448,3.3,,7,65,"13,874",25,"34,900",13,https://propertydata.co.uk/draw?input=DL13
DL14,"118,306",101,25,4,390,4.0,41,8,177,"37,325",19,"33,800",19,https://propertydata.co.uk/draw?input=DL14
DL15,"142,144",104,22,12,433,3.7,,7,132,"22,470",17,"32,600",21,https://propertydata.co.uk/draw?input=DL15
DL16,"146,520",132,18,8,,,,6,141,"19,698",19,"33,700",23,https://propertydata.co.uk/draw?input=DL16
DL17,"116,967",56,13,7,395,4.1,30,7,171,"17,623",15,"30,900",26,https://propertydata.co.uk/draw?input=DL17
DN1,"143,516",90,3,2,446,3.7,41,12,678,"8,564",15,"32,200",25,https://propertydata.co.uk/draw?input=DN1
DN2,"169,290",123,14,9,538,3.8,11,12,159,"24,674",18,"35,100",21,https://propertydata.co.uk/draw?input=DN2
DN3,"187,880",174,21,13,642,4.1,,10,86,"30,083",19,"39,100",9,https://propertydata.co.uk/draw?input=DN3
DN4,"160,813",154,46,12,507,3.8,25,11,147,"53,722",21,"37,300",17,https://propertydata.co.uk/draw?input=DN4
DN5,"167,439",143,35,16,574,4.1,18,12,119,"40,543",15,"38,400",13,https://propertydata.co.uk/draw?input=DN5
DN6,"169,495",126,18,11,534,3.8,13,10,125,"31,041",14,"34,300",21,https://propertydata.co.uk/draw?input=DN6
DN7,"195,178",154,14,9,,,,11,137,"24,521",14,"34,000",19,https://propertydata.co.uk/draw?input=DN7
DN8,"147,359",123,13,11,570,4.6,,12,131,"17,577",11,"32,300",19,https://propertydata.co.uk/draw?input=DN8
DN9,"303,369",181,15,10,,,,10,68,"19,790",27,"44,600",8,https://propertydata.co.uk/draw?input=DN9
DN10,"297,590",175,9,7,732,3.0,,10,67,"12,313",26,"44,500",11,https://propertydata.co.uk/draw?input=DN10
DN11,"204,624",159,19,10,579,3.4,52,11,111,"28,344",18,"37,400",17,https://propertydata.co.uk/draw?input=DN11
DN12,"130,847",118,13,10,521,4.8,,13,162,"24,092",11,"31,200",25,https://propertydata.co.uk/draw?input=DN12
DN14,"245,910",175,36,11,500,2.4,,12,82,"46,330",20,"38,900",12,https://propertydata.co.uk/draw?input=DN14
DN15,"165,128",138,21,11,437,3.2,,11,158,"36,594",17,"35,400",16,https://propertydata.co.uk/draw?input=DN15
DN16,"128,067",136,26,13,508,4.8,,10,129,"31,697",15,"35,000",18,https://propertydata.co.uk/draw?input=DN16
DN17,"187,102",149,27,13,,,,11,104,"37,207",17,"37,500",19,https://propertydata.co.uk/draw?input=DN17
DN18,"177,204",151,9,8,,,,10,82,"11,932",21,"38,400",13,https://propertydata.co.uk/draw?input=DN18
DN19,"236,421",153,5,9,,,,12,36,"6,296",23,"42,500",8,https://propertydata.co.uk/draw?input=DN19
DN20,"244,197",176,14,9,,,,11,57,"19,373",24,"39,600",12,https://propertydata.co.uk/draw?input=DN20
DN21,"182,289",152,33,7,466,3.1,53,12,124,"37,066",20,"37,200",17,https://propertydata.co.uk/draw?input=DN21
DN22,"236,140",170,33,10,514,2.6,52,11,111,"35,941",23,"39,000",16,https://propertydata.co.uk/draw?input=DN22
DN31,"82,242",66,9,6,456,6.7,30,10,383,"9,598",9,"28,600",13,https://propertydata.co.uk/draw?input=DN31
DN32,"108,326",89,17,5,452,5.0,34,9,213,"29,056",13,"31,600",21,https://propertydata.co.uk/draw?input=DN32
DN33,"182,924",153,17,12,,,,10,106,"19,406",18,"35,700",22,https://propertydata.co.uk/draw?input=DN33
DN34,"126,188",127,19,10,526,5.0,,13,98,"19,210",16,"34,100",14,https://propertydata.co.uk/draw?input=DN34
DN35,"136,018",139,28,9,492,4.3,29,10,117,"34,530",16,"32,800",9,https://propertydata.co.uk/draw?input=DN35
DN36,"221,991",174,24,10,,,,11,46,"19,200",17,"39,100",5,https://propertydata.co.uk/draw?input=DN36
DN37,"211,985",156,20,14,,,,12,111,"21,700",18,"38,300",12,https://propertydata.co.uk/draw?input=DN37
DN39,"272,313",147,2,8,,,,12,54,"2,781",23,"39,300",11,https://propertydata.co.uk/draw?input=DN39
DN40,"136,723",131,8,6,,,,11,96,"12,131",11,"33,100",20,https://propertydata.co.uk/draw?input=DN40
DN41,"242,232",165,5,8,,,,12,41,"6,279",18,"42,900",6,https://propertydata.co.uk/draw?input=DN41
DT1,"333,420",312,17,8,866,3.1,,7,108,"18,931",32,"43,500",18,https://propertydata.co.uk/draw?input=DT1
DT2,"405,704",269,20,11,,,,8,43,"24,674",33,"44,400",11,https://propertydata.co.uk/draw?input=DT2
DT3,"336,885",272,25,15,873,3.1,,6,73,"23,387",24,"41,100",12,https://propertydata.co.uk/draw?input=DT3
DT4,"212,181",238,34,12,689,3.9,89,7,148,"36,899",22,"38,900",15,https://propertydata.co.uk/draw?input=DT4
DT5,"217,444",207,14,12,,,,8,96,"12,817",19,"38,000",14,https://propertydata.co.uk/draw?input=DT5
DT6,"367,826",292,24,10,,,,6,71,"21,663",27,"38,800",14,https://propertydata.co.uk/draw?input=DT6
DT7,"426,372",322,8,10,,,,8,56,"5,462",33,"39,100",12,https://propertydata.co.uk/draw?input=DT7
DT8,"384,739",264,6,10,,,,9,41,"5,893",29,"40,800",15,https://propertydata.co.uk/draw?input=DT8
DT9,"356,294",284,19,8,846,2.8,,9,48,"20,760",33,"41,100",14,https://propertydata.co.uk/draw?input=DT9
DT10,"337,998",268,10,9,,,,6,42,"11,901",26,"40,100",14,https://propertydata.co.uk/draw?input=DT10
DT11,"348,595",275,24,10,918,3.2,,7,54,"30,122",29,"42,900",15,https://propertydata.co.uk/draw?input=DT11
DY1,"191,892",166,15,9,551,3.4,66,12,131,"31,930",16,"35,100",30,https://propertydata.co.uk/draw?input=DY1
DY2,"174,039",149,13,8,536,3.7,35,11,113,"34,247",13,"32,600",30,https://propertydata.co.uk/draw?input=DY2
DY3,"259,402",190,20,10,655,3.0,,12,77,"34,092",20,"37,400",21,https://propertydata.co.uk/draw?input=DY3
DY4,"171,635",157,17,9,630,4.4,54,10,123,"43,161",12,"32,500",33,https://propertydata.co.uk/draw?input=DY4
DY5,"189,943",182,21,9,539,3.4,70,10,104,"42,238",14,"36,400",23,https://propertydata.co.uk/draw?input=DY5
DY6,"268,677",215,21,12,,,,12,56,"28,146",23,"42,000",7,https://propertydata.co.uk/draw?input=DY6
DY7,"481,609",269,5,5,,,,10,40,"8,028",27,"44,500",11,https://propertydata.co.uk/draw?input=DY7
DY8,"246,164",227,33,9,683,3.3,52,10,68,"50,205",26,"40,400",15,https://propertydata.co.uk/draw?input=DY8
DY9,"347,772",239,15,8,761,2.6,,10,81,"30,035",28,"41,900",12,https://propertydata.co.uk/draw?input=DY9
DY10,"232,477",187,27,12,562,2.9,100,11,127,"35,493",23,"39,800",16,https://propertydata.co.uk/draw?input=DY10
DY11,"239,683",194,22,12,659,3.3,61,11,113,"30,309",21,"38,400",18,https://propertydata.co.uk/draw?input=DY11
DY12,"304,520",228,8,7,,,,11,73,"12,051",24,"40,400",9,https://propertydata.co.uk/draw?input=DY12
DY13,"232,601",193,12,8,,,,10,91,"22,330",20,"38,400",11,https://propertydata.co.uk/draw?input=DY13
DY14,"359,749",206,5,5,,,,11,55,"8,235",26,"40,800",10,https://propertydata.co.uk/draw?input=DY14
E1,"572,729",783,22,1,"1,685",3.5,26,7,240,"81,940",41,"55,000",41,https://propertydata.co.uk/draw?input=E1
E2,"553,718",694,12,1,"1,620",3.5,36,4,214,"46,219",38,"50,400",45,https://propertydata.co.uk/draw?input=E2
E3,"440,832",633,21,1,"1,432",3.9,34,6,206,"51,650",38,"51,600",46,https://propertydata.co.uk/draw?input=E3
E4,"474,254",470,35,6,"1,319",3.3,43,7,123,"60,234",24,"49,900",18,https://propertydata.co.uk/draw?input=E4
E5,"523,278",658,17,3,"1,532",3.5,43,6,161,"47,630",44,"45,900",45,https://propertydata.co.uk/draw?input=E5
E6,"389,701",412,15,3,"1,485",4.6,36,9,136,"78,955",28,"45,000",25,https://propertydata.co.uk/draw?input=E6
E7,"481,402",470,7,2,"1,354",3.4,36,4,115,"54,565",31,"46,600",20,https://propertydata.co.uk/draw?input=E7
E8,"589,960",707,15,1,"1,701",3.5,34,5,253,"39,071",45,"51,200",45,https://propertydata.co.uk/draw?input=E8
E9,"531,294",616,11,2,"1,605",3.6,36,7,167,"38,236",37,"46,900",57,https://propertydata.co.uk/draw?input=E9
E10,"445,827",524,19,3,"1,321",3.6,30,6,153,"42,953",30,"49,800",22,https://propertydata.co.uk/draw?input=E10
E11,"492,231",550,23,3,"1,309",3.2,37,6,123,"55,128",39,"53,300",20,https://propertydata.co.uk/draw?input=E11
E12,"418,571",407,6,2,"1,442",4.1,30,3,105,"41,869",29,"45,000",24,https://propertydata.co.uk/draw?input=E12
E13,"387,723",429,7,2,"1,524",4.7,34,4,134,"46,912",26,"42,800",34,https://propertydata.co.uk/draw?input=E13
E14,"572,667",710,32,1,"1,588",3.3,34,5,190,"80,139",45,"60,500",35,https://propertydata.co.uk/draw?input=E14
E15,"429,109",549,13,1,"1,495",4.2,34,5,224,"52,244",35,"49,200",34,https://propertydata.co.uk/draw?input=E15
E16,"468,436",558,11,1,"1,483",3.8,37,4,171,"44,874",30,"49,100",38,https://propertydata.co.uk/draw?input=E16
E17,"468,742",561,49,4,"1,341",3.4,38,6,146,"103,354",32,"50,000",24,https://propertydata.co.uk/draw?input=E17
E18,"504,742",543,11,3,"1,260",3.0,39,6,89,"19,022",47,"58,600",9,https://propertydata.co.uk/draw?input=E18
EC1,"842,586",933,9,1,"1,932",2.8,29,14,277,"27,072",51,"52,500",47,https://propertydata.co.uk/draw?input=EC1
EC2,"1,152,388",992,4,1,"2,255",2.3,28,9,"1,031","4,698",59,"61,700",7,https://propertydata.co.uk/draw?input=EC2
EC3,"639,917","1,530",,,,,18,13,"3,268",395,73,"66,300",1,https://propertydata.co.uk/draw?input=EC3
EC4,"759,514","1,169",,,"1,692",2.7,15,13,"1,971","1,181",56,"65,400",2,https://propertydata.co.uk/draw?input=EC4
EN1,"423,531",478,17,4,"1,247",3.5,56,5,115,"45,678",27,"49,700",17,https://propertydata.co.uk/draw?input=EN1
EN2,"496,916",509,20,5,"1,312",3.2,47,6,127,"29,419",34,"54,600",10,https://propertydata.co.uk/draw?input=EN2
EN3,"357,542",380,14,4,"1,351",4.5,76,8,147,"56,407",21,"42,300",24,https://propertydata.co.uk/draw?input=EN3
EN4,"703,369",557,16,4,"1,333",2.3,31,8,106,"25,767",37,"54,600",8,https://propertydata.co.uk/draw?input=EN4
EN5,"580,038",540,23,4,"1,305",2.7,67,6,104,"37,446",39,"56,800",15,https://propertydata.co.uk/draw?input=EN5
EN6,"565,765",480,25,6,"1,182",2.5,42,7,94,"29,075",30,"50,300",11,https://propertydata.co.uk/draw?input=EN6
EN7,"532,629",423,16,9,"1,386",3.1,,4,65,"21,882",18,"45,900",10,https://propertydata.co.uk/draw?input=EN7
EN8,"360,840",419,24,6,"1,112",3.7,78,6,149,"35,806",17,"41,700",18,https://propertydata.co.uk/draw?input=EN8
EN9,"426,080",383,11,5,"1,076",3.0,,5,134,"23,596",17,"41,600",21,https://propertydata.co.uk/draw?input=EN9
EN10,"465,373",396,13,6,"1,074",2.8,44,4,89,"17,203",23,"49,200",14,https://propertydata.co.uk/draw?input=EN10
EN11,"359,789",384,14,6,982,3.3,51,3,105,"21,478",20,"45,300",13,https://propertydata.co.uk/draw?input=EN11
EX1,"301,468",287,18,5,855,3.4,26,8,123,"21,285",29,"40,100",22,https://propertydata.co.uk/draw?input=EX1
EX2,"297,176",281,36,7,894,3.6,58,9,93,"40,664",30,"43,800",14,https://propertydata.co.uk/draw?input=EX2
EX3,"551,861",367,7,7,,,,9,26,"4,722",44,"44,000",6,https://propertydata.co.uk/draw?input=EX3
EX4,"267,845",279,36,6,"1,019",4.6,27,11,110,"55,144",27,"41,200",17,https://propertydata.co.uk/draw?input=EX4
EX5,"292,893",263,18,6,838,3.4,,8,57,"18,788",31,"47,100",10,https://propertydata.co.uk/draw?input=EX5
EX6,"333,869",278,9,7,887,3.2,,11,42,"13,740",31,"44,800",7,https://propertydata.co.uk/draw?input=EX6
EX7,"274,737",246,11,8,633,2.8,,8,65,"12,502",24,"37,000",8,https://propertydata.co.uk/draw?input=EX7
EX8,"277,925",289,42,11,724,3.1,,11,68,"37,406",26,"39,100",10,https://propertydata.co.uk/draw?input=EX8
EX9,"439,672",300,6,6,,,,9,39,"6,834",39,"41,400",8,https://propertydata.co.uk/draw?input=EX9
EX10,"378,221",311,18,7,833,2.6,,12,46,"16,775",31,"39,700",10,https://propertydata.co.uk/draw?input=EX10
EX11,"319,057",278,9,8,,,,10,44,"7,999",36,"45,400",8,https://propertydata.co.uk/draw?input=EX11
EX12,"313,056",274,13,12,,,,10,53,"9,306",25,"35,200",8,https://propertydata.co.uk/draw?input=EX12
EX13,"276,618",245,10,6,,,,11,60,"11,722",27,"38,500",12,https://propertydata.co.uk/draw?input=EX13
EX14,"265,371",247,17,9,,,,9,50,"20,810",25,"39,800",10,https://propertydata.co.uk/draw?input=EX14
EX15,"308,626",248,24,17,,,,7,45,"21,043",26,"41,700",12,https://propertydata.co.uk/draw?input=EX15
EX16,"306,943",237,21,8,691,2.7,53,10,62,"32,229",24,"40,000",15,https://propertydata.co.uk/draw?input=EX16
EX17,"321,712",231,15,7,776,2.9,,7,46,"19,490",29,"40,900",10,https://propertydata.co.uk/draw?input=EX17
EX19,"324,398",224,3,6,,,,10,26,"3,609",27,"41,200",6,https://propertydata.co.uk/draw?input=EX19
EX20,"270,896",211,17,8,625,2.8,,10,55,"20,125",26,"39,300",10,https://propertydata.co.uk/draw?input=EX20
EX21,"384,925",217,4,7,,,,10,28,"4,405",25,"38,800",5,https://propertydata.co.uk/draw?input=EX21
EX22,"289,813",214,6,5,,,,11,39,"10,653",19,"36,500",8,https://propertydata.co.uk/draw?input=EX22
EX23,"335,475",262,13,8,,,,9,46,"15,617",23,"34,700",11,https://propertydata.co.uk/draw?input=EX23
EX24,"335,738",281,4,9,,,,10,20,"3,727",31,"41,500",10,https://propertydata.co.uk/draw?input=EX24
EX31,"320,721",258,22,8,,,,8,79,"25,086",22,"39,900",9,https://propertydata.co.uk/draw?input=EX31
EX32,"257,983",213,23,9,650,3.0,,8,78,"23,896",20,"37,600",15,https://propertydata.co.uk/draw?input=EX32
EX33,"435,049",291,16,18,,,,9,45,"10,259",25,"40,300",7,https://propertydata.co.uk/draw?input=EX33
EX34,"267,467",203,15,7,533,2.4,,10,76,"17,312",20,"35,100",9,https://propertydata.co.uk/draw?input=EX34
EX35,"280,902",218,,,,,,9,35,"1,674",27,"36,100",9,https://propertydata.co.uk/draw?input=EX35
EX36,"273,931",222,5,5,,,,10,51,"8,540",22,"37,900",12,https://propertydata.co.uk/draw?input=EX36
EX38,"243,122",200,6,7,,,,10,46,"8,260",21,"37,500",9,https://propertydata.co.uk/draw?input=EX38
EX39,"261,759",237,35,9,667,3.1,100,7,64,"37,175",22,"36,300",10,https://propertydata.co.uk/draw?input=EX39
FY1,"96,440",90,17,3,463,5.8,49,10,456,"33,507",12,"26,600",11,https://propertydata.co.uk/draw?input=FY1
FY2,"134,178",127,25,9,487,4.4,,8,140,"24,589",17,"32,700",11,https://propertydata.co.uk/draw?input=FY2
FY3,"132,279",127,25,7,584,5.3,37,9,186,"31,569",17,"33,000",17,https://propertydata.co.uk/draw?input=FY3
FY4,"128,480",134,32,5,523,4.9,35,9,181,"43,982",15,"31,800",10,https://propertydata.co.uk/draw?input=FY4
FY5,"159,683",156,48,9,606,4.6,50,9,79,"44,800",20,"35,500",4,https://propertydata.co.uk/draw?input=FY5
FY6,"268,320",188,25,7,699,3.1,54,7,66,"27,751",26,"39,600",4,https://propertydata.co.uk/draw?input=FY6
FY7,"122,277",123,19,6,525,5.1,46,9,184,"25,917",14,"32,100",17,https://propertydata.co.uk/draw?input=FY7
FY8,"205,242",191,50,7,598,3.5,53,8,91,"43,864",31,"38,900",7,https://propertydata.co.uk/draw?input=FY8
GL1,"188,573",200,22,4,642,4.1,47,10,301,"34,172",19,"35,900",15,https://propertydata.co.uk/draw?input=GL1
GL2,"286,348",248,51,9,798,3.3,79,10,95,"52,078",23,"46,900",7,https://propertydata.co.uk/draw?input=GL2
GL3,"291,140",258,29,9,824,3.4,,9,70,"30,277",27,"45,100",11,https://propertydata.co.uk/draw?input=GL3
GL4,"247,955",239,27,8,775,3.8,78,9,105,"47,341",22,"41,100",18,https://propertydata.co.uk/draw?input=GL4
GL5,"285,446",271,17,6,763,3.2,,9,115,"31,004",32,"43,000",15,https://propertydata.co.uk/draw?input=GL5
GL6,"421,375",318,20,8,,,,8,59,"24,490",36,"46,900",9,https://propertydata.co.uk/draw?input=GL6
GL7,"416,837",306,40,8,996,2.9,49,11,83,"42,622",33,"45,100",18,https://propertydata.co.uk/draw?input=GL7
GL8,"408,112",318,9,6,982,2.9,,11,56,"8,525",34,"46,700",15,https://propertydata.co.uk/draw?input=GL8
GL10,"343,868",274,8,6,,,,11,86,"13,780",26,"42,500",16,https://propertydata.co.uk/draw?input=GL10
GL11,"348,086",274,10,6,,,,9,62,"18,185",29,"43,200",16,https://propertydata.co.uk/draw?input=GL11
GL12,"392,683",291,8,6,,,,10,41,"15,247",31,"49,200",11,https://propertydata.co.uk/draw?input=GL12
GL13,"299,177",241,4,7,,,,11,71,"5,699",27,"45,100",12,https://propertydata.co.uk/draw?input=GL13
GL14,"241,711",184,7,3,,,,12,89,"15,232",20,"38,000",16,https://propertydata.co.uk/draw?input=GL14
GL15,"291,243",213,19,7,806,3.3,100,11,79,"20,759",23,"39,100",13,https://propertydata.co.uk/draw?input=GL15
GL16,"277,815",205,13,8,637,2.8,,11,86,"13,281",20,"37,700",15,https://propertydata.co.uk/draw?input=GL16
GL17,"282,576",198,7,6,,,,11,56,"11,547",21,"41,100",11,https://propertydata.co.uk/draw?input=GL17
GL18,"363,445",225,7,10,,,,11,80,"7,746",29,"42,100",12,https://propertydata.co.uk/draw?input=GL18
GL19,"472,083",253,5,7,,,,12,49,"9,216",32,"47,500",7,https://propertydata.co.uk/draw?input=GL19
GL20,"267,918",260,24,9,700,3.1,,11,75,"28,354",29,"44,900",15,https://propertydata.co.uk/draw?input=GL20
GL50,"334,271",318,24,4,795,2.9,51,11,209,"22,649",40,"42,700",8,https://propertydata.co.uk/draw?input=GL50
GL51,"275,613",280,41,8,756,3.3,96,11,117,"51,439",31,"42,200",18,https://propertydata.co.uk/draw?input=GL51
GL52,"324,316",306,44,6,764,2.8,47,9,85,"42,950",36,"46,300",11,https://propertydata.co.uk/draw?input=GL52
GL53,"437,381",376,17,5,"1,060",2.9,43,10,67,"19,966",47,"50,000",4,https://propertydata.co.uk/draw?input=GL53
GL54,"459,230",324,19,6,"1,093",2.9,50,8,69,"22,207",36,"45,900",13,https://propertydata.co.uk/draw?input=GL54
GL55,"607,082",337,6,6,,,,11,54,"5,175",33,"43,000",14,https://propertydata.co.uk/draw?input=GL55
GL56,"456,539",307,10,7,,,,11,74,"8,564",35,"42,000",16,https://propertydata.co.uk/draw?input=GL56
GU1,"431,025",497,23,3,"1,393",3.9,39,6,180,"29,315",47,"64,400",16,https://propertydata.co.uk/draw?input=GU1
GU2,"452,791",438,17,3,"1,998",5.3,50,9,86,"33,976",37,"53,300",17,https://propertydata.co.uk/draw?input=GU2
GU3,"572,896",444,8,9,,,,14,64,"11,466",36,"58,900",9,https://propertydata.co.uk/draw?input=GU3
GU4,"530,614",487,11,8,"1,004",2.3,49,11,54,"15,943",47,"61,300",8,https://propertydata.co.uk/draw?input=GU4
GU5,"856,196",497,7,7,"1,922",2.7,,9,52,"10,704",50,"58,000",11,https://propertydata.co.uk/draw?input=GU5
GU6,"473,463",433,12,5,"1,289",3.3,,10,51,"14,491",35,"54,000",12,https://propertydata.co.uk/draw?input=GU6
GU7,"395,995",439,26,7,"1,141",3.5,73,8,99,"22,738",41,"59,700",13,https://propertydata.co.uk/draw?input=GU7
GU8,"554,624",430,13,9,"1,594",3.4,,7,64,"17,652",42,"53,300",12,https://propertydata.co.uk/draw?input=GU8
GU9,"484,566",424,25,8,"1,097",2.7,33,9,73,"29,784",38,"56,500",15,https://propertydata.co.uk/draw?input=GU9
GU10,"686,008",427,26,12,"1,585",2.8,,9,57,"22,580",35,"62,200",8,https://propertydata.co.uk/draw?input=GU10
GU11,"278,744",331,13,4,846,3.6,47,9,118,"23,881",22,"50,400",17,https://propertydata.co.uk/draw?input=GU11
GU12,"343,156",371,23,6,938,3.3,62,9,88,"30,323",24,"55,000",15,https://propertydata.co.uk/draw?input=GU12
GU14,"298,674",357,34,4,995,4.0,42,9,96,"55,171",27,"56,000",16,https://propertydata.co.uk/draw?input=GU14
GU15,"321,872",360,25,6,968,3.6,43,8,86,"35,008",35,"59,700",11,https://propertydata.co.uk/draw?input=GU15
GU16,"422,417",398,20,10,"1,147",3.3,29,9,65,"23,556",32,"61,700",7,https://propertydata.co.uk/draw?input=GU16
GU17,"448,684",339,12,12,869,2.3,,9,66,"10,820",26,"60,100",6,https://propertydata.co.uk/draw?input=GU17
GU18,"503,864",435,7,7,,,,10,60,"6,891",38,"66,300",4,https://propertydata.co.uk/draw?input=GU18
GU19,"485,253",412,5,6,,,,9,134,"5,618",36,"56,300",11,https://propertydata.co.uk/draw?input=GU19
GU20,"742,963",467,4,6,,,,10,36,"4,329",41,"64,000",4,https://propertydata.co.uk/draw?input=GU20
GU21,"351,975",450,33,5,"1,118",3.8,44,9,103,"50,240",36,"59,800",14,https://propertydata.co.uk/draw?input=GU21
GU22,"424,675",458,29,5,"1,143",3.2,54,8,91,"33,073",43,"65,100",8,https://propertydata.co.uk/draw?input=GU22
GU23,"641,731",485,3,4,"1,345",2.5,,9,100,"6,864",40,"61,200",10,https://propertydata.co.uk/draw?input=GU23
GU24,"579,809",439,11,7,"1,480",3.1,80,8,73,"17,561",34,"63,000",5,https://propertydata.co.uk/draw?input=GU24
GU25,"844,417",501,7,6,"2,771",3.9,28,9,68,"5,712",46,"68,000",4,https://propertydata.co.uk/draw?input=GU25
GU26,"490,328",379,7,5,"1,071",2.6,,9,44,"7,337",40,"56,900",8,https://propertydata.co.uk/draw?input=GU26
GU27,"461,837",419,13,6,989,2.6,39,10,59,"17,809",42,"53,900",14,https://propertydata.co.uk/draw?input=GU27
GU28,"530,284",360,4,6,,,,9,57,"6,758",32,"43,800",18,https://propertydata.co.uk/draw?input=GU28
GU29,"417,113",367,10,6,,,,8,62,"9,087",31,"42,600",19,https://propertydata.co.uk/draw?input=GU29
GU30,"477,954",364,12,9,"1,153",2.9,,9,62,"9,268",35,"51,000",12,https://propertydata.co.uk/draw?input=GU30
GU31,"529,914",401,10,7,"1,266",2.9,,9,53,"11,026",38,"50,600",12,https://propertydata.co.uk/draw?input=GU31
GU32,"441,361",385,7,4,876,2.4,85,9,81,"12,114",38,"51,600",18,https://propertydata.co.uk/draw?input=GU32
GU33,"502,907",361,6,6,"1,019",2.4,,10,48,"8,403",37,"51,200",11,https://propertydata.co.uk/draw?input=GU33
GU34,"397,760",362,28,7,965,2.9,47,9,69,"29,740",35,"54,800",14,https://propertydata.co.uk/draw?input=GU34
GU35,"358,379",330,21,8,"1,084",3.6,,8,68,"22,670",27,"51,300",15,https://propertydata.co.uk/draw?input=GU35
GU46,"407,427",372,12,15,,,,9,54,"14,823",30,"58,600",7,https://propertydata.co.uk/draw?input=GU46
GU47,"427,984",383,11,7,"1,151",3.2,,7,49,"18,860",29,"60,100",7,https://propertydata.co.uk/draw?input=GU47
GU51,"391,590",387,19,7,959,2.9,65,9,66,"23,352",42,"68,600",6,https://propertydata.co.uk/draw?input=GU51
GU52,"452,748",391,13,9,"1,126",3.0,65,9,56,"16,040",39,"65,100",6,https://propertydata.co.uk/draw?input=GU52
HA0,"487,919",521,7,1,"1,282",3.2,34,5,108,"48,615",31,"51,000",13,https://propertydata.co.uk/draw?input=HA0
HA1,"420,511",531,14,1,"1,286",3.7,40,2,157,"38,468",45,"57,500",11,https://propertydata.co.uk/draw?input=HA1
HA2,"481,753",491,21,3,"1,243",3.1,43,3,93,"55,273",38,"57,900",13,https://propertydata.co.uk/draw?input=HA2
HA3,"475,376",484,16,2,"1,219",3.1,37,3,93,"70,812",33,"54,100",12,https://propertydata.co.uk/draw?input=HA3
HA4,"499,095",531,32,6,"1,309",3.1,50,4,95,"50,092",31,"58,800",9,https://propertydata.co.uk/draw?input=HA4
HA5,"572,767",548,27,5,"1,331",2.8,37,4,74,"44,534",42,"63,800",9,https://propertydata.co.uk/draw?input=HA5
HA6,"595,615",549,14,4,"1,361",2.7,43,2,75,"21,901",46,"63,100",11,https://propertydata.co.uk/draw?input=HA6
HA7,"550,820",523,16,3,"1,460",3.2,38,2,78,"35,976",35,"56,700",11,https://propertydata.co.uk/draw?input=HA7
HA8,"484,084",506,22,2,"1,377",3.4,36,5,113,"64,905",33,"51,500",19,https://propertydata.co.uk/draw?input=HA8
HA9,"470,063",551,7,1,"1,543",3.9,30,6,137,"47,510",34,"51,300",17,https://propertydata.co.uk/draw?input=HA9
HD1,"138,001",124,6,2,549,4.8,20,2,280,"23,703",23,"33,600",18,https://propertydata.co.uk/draw?input=HD1
HD2,"225,006",148,17,10,530,2.8,,5,119,"28,723",25,"36,700",20,https://propertydata.co.uk/draw?input=HD2
HD3,"181,529",176,22,7,526,3.5,43,6,96,"29,493",29,"40,600",11,https://propertydata.co.uk/draw?input=HD3
HD4,"147,391",154,17,7,507,4.1,28,3,115,"30,170",25,"35,600",19,https://propertydata.co.uk/draw?input=HD4
HD5,"167,459",179,18,8,560,4.0,26,4,110,"31,246",21,"36,500",18,https://propertydata.co.uk/draw?input=HD5
HD6,"208,706",170,19,9,586,3.4,,8,114,"27,293",24,"40,300",15,https://propertydata.co.uk/draw?input=HD6
