Postcode,"Avg asking price","Average £/sqft","Sales per month","Turnover (sale)","Avg asking rent (pm)","Avg yield","Turnover (rental)",3yr,"Crime rate",Population,Degree,"Avg. household income","Social rent",URL
SG6,"341,471",379,25,11,916,3.2,79,3,95,"33,209",28,"46,100",32,https://propertydata.co.uk/draw?input=SG6
SG7,"451,114",369,7,6,"1,086",2.9,,2,71,"13,324",33,"50,200",16,https://propertydata.co.uk/draw?input=SG7
SG8,"435,951",353,26,5,903,2.5,48,3,58,"38,194",34,"53,600",14,https://propertydata.co.uk/draw?input=SG8
SG9,"488,012",371,7,4,,,,4,79,"9,510",29,"52,400",12,https://propertydata.co.uk/draw?input=SG9
SG10,"500,714",417,2,7,,,,4,49,"2,089",31,"48,300",17,https://propertydata.co.uk/draw?input=SG10
SG11,"591,391",391,8,8,,,,4,61,"8,088",29,"51,700",13,https://propertydata.co.uk/draw?input=SG11
SG12,"385,408",424,25,6,"1,108",3.4,46,4,69,"29,706",30,"49,300",14,https://propertydata.co.uk/draw?input=SG12
SG13,"484,775",451,16,8,"1,230",3.0,41,2,78,"16,263",38,"54,200",12,https://propertydata.co.uk/draw?input=SG13
SG14,"433,115",463,19,9,"1,206",3.3,59,4,107,"18,752",37,"53,500",17,https://propertydata.co.uk/draw?input=SG14
SG15,"282,269",316,8,9,,,,4,69,"5,584",24,"48,200",18,https://propertydata.co.uk/draw?input=SG15
SG16,"416,614",314,5,5,,,,4,44,"6,091",30,"50,100",11,https://propertydata.co.uk/draw?input=SG16
SG17,"399,393",322,14,8,,,,2,77,"12,319",29,"51,100",15,https://propertydata.co.uk/draw?input=SG17
SG18,"358,846",310,25,9,813,2.7,63,2,93,"23,934",25,"47,300",14,https://propertydata.co.uk/draw?input=SG18
SG19,"365,205",299,22,8,783,2.6,,2,76,"24,197",27,"50,400",15,https://propertydata.co.uk/draw?input=SG19
SK1,"175,717",172,9,8,619,4.2,,12,,"11,230",16,"35,500",30,https://propertydata.co.uk/draw?input=SK1
SK2,"263,862",229,22,8,697,3.2,40,13,,"29,451",23,"40,700",16,https://propertydata.co.uk/draw?input=SK2
SK3,"229,283",214,25,14,715,3.7,78,12,2,"27,923",24,"39,700",21,https://propertydata.co.uk/draw?input=SK3
SK4,"412,792",280,32,19,720,2.1,92,12,,"34,510",37,"46,400",10,https://propertydata.co.uk/draw?input=SK4
SK5,"223,090",195,19,14,737,4.0,,10,,"29,538",15,"35,200",24,https://propertydata.co.uk/draw?input=SK5
SK6,"295,337",251,41,11,772,3.1,,12,1,"50,689",29,"42,100",13,https://propertydata.co.uk/draw?input=SK6
SK7,"363,330",289,42,11,919,3.0,13,10,1,"40,669",32,"47,900",4,https://propertydata.co.uk/draw?input=SK7
SK8,"327,069",283,57,13,829,3.0,42,11,1,"58,434",34,"46,400",7,https://propertydata.co.uk/draw?input=SK8
